"index","MID","title","year","rating","num_votes"
"356","tt1610452","Band Baaja Baaraat","2010","7.2","13191"
"357","tt0118983","Dil To Pagal Hai","1997","7.1","18497"
"358","tt0102258","Lamhe","1991","7.4","2275"
"359","tt4807830","Lipstick Under My Burkha","2016","6.9","5134"
"360","tt3802576","Brothers","2015","6.7","10433"
"361","tt5472758","Happy Bhag Jayegi","2016","6.4","4376"
"362","tt1572311","Tees Maar Khan","2010","2.6","9858"
"363","tt5472374","Meri Pyaari Bindu","2017","5.7","2811"
"364","tt4874298","Madly","2016","6.3","97"
"365","tt1714832","Do Dooni Chaar","2010","7.6","4341"
"366","tt0106333","Baazigar","1993","7.8","22636"
"367","tt3410408","Rocky Handsome","2016","6.8","6143"
"368","tt2424988","Gabbar is Back","2015","7.2","20584"
"369","tt3696192","Singh Is Bliing","2015","5.3","6577"
"370","tt2181931","English Vinglish","2012","7.9","29331"
"371","tt5743656","Phobia","2016","6.9","2184"
"372","tt0346457","Mangal Pandey: The Rising","2005","6.7","8592"
"373","tt2072227","Shanghai","2012","7.2","8859"
"374","tt6143422","Dark wind","2017","9.0","245"
"375","tt6173826","Guest iin London","2017","5.4","1081"
"376","tt0215132","Rocky","1981","6.9","537"
"377","tt4906960","Baadshaho","2017","5.0","3626"
"378","tt0294662","Kaante","2002","6.6","4091"
"379","tt1411956","Sold","2016","6.8","1298"
"380","tt1230165","Rock On!!","2008","7.8","18668"
"381","tt1428459","We Are Family","2010","5.6","2536"
"382","tt3175038","Ek Villain","2014","6.5","14131"
"383","tt3483712","Raja Natwarlal","2014","6.1","3513"
"384","tt1694542","Tanu Weds Manu","2011","6.7","11397"
"385","tt8223250","Bioscopewala","2018","7.8","554"
"386","tt0100095","Maine Pyar Kiya","1989","7.4","9326"
"387","tt4552546","3 Storeys","2018","7.2","257"
"388","tt5742874","Sarkar 3","2017","4.8","1550"
"389","tt0075143","Al-risâlah","1976","8.9","5202"
"390","tt4552486","Dobaara: See Your Evil","2017","4.1","279"
"391","tt0195231","Satya","1998","8.2","11186"
"392","tt7647198","Love and Shukla","2017","7.3","425"
"393","tt5983262","Tikli and Laxmi Bomb","2017","7.2","376"
"394","tt6265988","Bhoomi","2017","5.4","1382"
"395","tt1020937","Awarapan","2007","7.2","5456"
"396","tt5982852","Jolly LLB 2","2017","7.3","17945"
"397","tt0425055","Game 6","2005","5.9","2363"
"398","tt2614722","Umrika","2015","6.7","897"
"399","tt2140465","Tanu Weds Manu Returns","2015","7.7","23056"
"400","tt1043451","Delhi-6","2009","6.0","6208"
"401","tt0451850","Paheli","2005","6.7","11357"
"402","tt1580704","That Girl in Yellow Boots","2010","6.7","3144"
"403","tt0052954","Kaagaz Ke Phool","1959","8.1","1698"
"404","tt3679000","Any Body Can Dance 2","2015","5.5","4382"
"405","tt3483646","Bewakoofiyaan","2014","5.5","3206"
"406","tt5178120","The Song of Scorpions","2017","6.5","105"
"407","tt0066070","Mera Naam Joker","1970","8.0","4107"
"408","tt1266583","Mumbai Meri Jaan","2008","7.8","4986"
"409","tt6791730","Tumhari Sulu","2017","7.0","3514"
"410","tt0758053","Saawariya","2007","5.4","6723"
"411","tt7695014","Saheb Biwi Aur Gangster 3","2018","4.4","500"
"412","tt4271730","Alone","2015","3.8","1403"
"413","tt1985981","Desi Boyz","2011","5.9","11587"
"414","tt1291465","Raajneeti","2010","7.1","14876"
"415","tt1244093","Hisss","2010","3.0","1374"
"416","tt1836912","Shaitan","2011","7.3","7275"
"417","tt4979082","Jai Gangaajal","2016","5.7","2240"
"418","tt2258337","Eega","2012","7.8","18311"
"419","tt1954206","The Dirty Picture","2011","6.6","7727"
"420","tt1667838","I Hate Luv Storys","2010","5.6","6771"
"421","tt3717068","Court","2014","7.7","3086"
"422","tt0079221","Gol Maal","1979","8.6","14778"
"423","tt4332114","Dolly Ki Doli","2015","4.6","2379"
"424","tt0058547","Sangam","1964","7.6","1295"
"425","tt8484590","Teri Bhabhi Hai Pagle","2018","5.5","63"
"426","tt0800956","Life in a Metro","2007","7.4","9447"
"427","tt0107311","Khal Nayak","1993","7.2","2523"
"428","tt2049630","Unfreedom","2014","6.2","1693"
"429","tt2677064","Vishwaroopam 2","2018","6.1","1721"
